address,floor_area,agent_name,baths,beds,price
"51 Saint Helen's Road, Booterstown, Co. Dublin",162 m²,,1 Bath,4 Bed,"€1,250,000 "
"3 Malone Gardens, Sandymount, Dublin 4",170 m²,,2 Bath,4 Bed,"€850,000 "
"134 Ballygall Parade, Finglas East, Finglas, Dublin 11",,,2 Bath,4 Bed,"€440,000 "
"142 Drumnigh Wood, Portmarnock, Co. Dublin",299 m²,,4 Bath,4 Bed,"€1,000,000 "
"Apartment 2 Block J, Hanover Riverside, Forbes Street, Grand Canal Dock, Dublin 2",97 m²,,3 Bath,3 Bed,"€620,000 "
"10 Eden Grove, Rathfarnham, Dublin 16",129 m²,,3 Bath,4 Bed,"€685,000 "
"5 Stepaside Park, Stepaside, Dublin 18",,,3 Bath,5 Bed,"€925,000 "
"13 Brookwood Crescent, Artane, Dublin 5",98 m²,,1 Bath,3 Bed,"€480,000 "
"26 Delhurst Terrace, Ongar Village, Ongar, Dublin 15",76 m²,,2 Bath,2 Bed,"€285,000 "
"406b Clonard Road, Kimmage, Dublin 12",,,2 Bath,3 Bed,"€519,950 "
"10 The Paddocks Rise, Adamstown, Lucan, Co. Dublin",92 m²,,3 Bath,3 Bed,"€395,000 "
"Apartment 52, Shelbourne Park Apartments, Dublin 4",65 m²,,1 Bath,2 Bed,"€345,000 "
"Baile An Mhota, Kerrymount Avenue, Foxrock, Dublin 18",539 m²,,6 Bath,6 Bed,"€4,600,000 "
"72 Shantalla Drive, Beaumont, Beaumont, Dublin 9",100 m²,,1 Bath,3 Bed,"€399,000 "
"3 St. Peter's Avenue, Phibsborough, Dublin 7",110 m²,,1 Bath,2 Bed,"€595,000 "
"24A Mount Pleasant Avenue Lower, Ranelagh, Dublin 6",54 m²,,1 Bath,2 Bed,"€425,000 "
"21 Saint Brigid's Road Lower, Drumcondra, Dublin 9",96 m²,,1 Bath,3 Bed,"€445,000 "
"Chez Nous, 194 Glenageary Road Upper, Glenageary, Co. Dublin",297 m²,,4 Bath,6 Bed,"€1,495,000 "
"70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",89 m²,,2 Bath,3 Bed,"€370,000 "
"66 Offington Lawn, Sutton, Sutton, Dublin 13",239 m²,,2 Bath,4 Bed,"€995,000 "
"11 Caledon Court, East Road, East Wall, Dublin 3",65 m²,,2 Bath,2 Bed,"€345,000 "
"2 East Road, East Wall, Dublin 3",100 m²,,2 Bath,4 Bed,"€439,000 "
"6 Riverwood Dale, Castleknock, Dublin 15",,,3 Bath,4 Bed,"€595,000 "
"27 Windmill Avenue, Swords, Co. Dublin",116 m²,,2 Bath,3 Bed,"€465,000 "
"3 Landsdowne Valley Crescent, Drimnagh, Dublin 12",83 m²,,1 Bath,3 Bed,"€365,000 "
