address,floor_area,agent_name,baths,beds,price
"40 Corbawn Drive, Shankill, Dublin 18",113 m²,,2 Bath,3 Bed,"€595,000 "
"17 Fitzgerald Street, Harold's Cross, D06KH34, Dublin 6",67 m²,,1 Bath,2 Bed,"€475,000 "
"4 Pembroke Cottages, Donnybrook, Dublin 4",84 m²,,1 Bath,1 Bed,"€495,000 "
"Barr Na Coille, Barr Na Coille, 36E Chapelizod Hill Road, Chapelizod, Dublin 20",173 m²,,3 Bath,4 Bed,"€550,000 "
"78 Littlepace Park, Clonee, Dublin 15",94 m²,,3 Bath,3 Bed,"€395,000 "
"14 The Orchard Monkstown Valley Monkstown, Monkstown, Co. Dublin",52 m²,,1 Bath,2 Bed,"€595,000 "
"8 The Avenue Boden Park Rathfarnham Dublin 16, Rathfarnham, Dublin 16",102 m²,,2 Bath,3 Bed,"€550,000 "
"105 Garville Lane, Rathgar, Dublin 6",123 m²,,3 Bath,3 Bed,"€750,000 "
"""The Coaches"", Malahide Road, Swords, Co. Dublin",192 m²,,4 Bath,3 Bed,"€775,000 "
"58 Holywell Crescent South, Swords, Co. Dublin",115 m²,,3 Bath,3 Bed,"€310,000 "
"2 Fernleigh Dale, Castleknock, Carpenterstown, Dublin 15",,,2 Bath,2 Bed,"€385,000 "
"Apartment 14, The Clayton, The Gasworks, Dublin 4",78 m²,,2 Bath,2 Bed,"€495,000 "
"5 Grove Avenue, Harold's Cross, Harold's Cross, Dublin 6",101 m²,,1 Bath,3 Bed,"€525,000 "
"25 Arkendale Woods, Glenageary, Co. Dublin",65 m²,,2 Bath,2 Bed,"€495,000 "
"16 Berwick Hall, Whitehall Road, Churchtown, Dublin 14",63 m²,,1 Bath,2 Bed,"€450,000 "
"8 Baldungan Close, Loughshinny, Skerries, Co. Dublin",158 m²,,3 Bath,4 Bed,"€550,000 "
"Domville Development, Domville Development, Cherrywood, Co. Dublin",,,,,New 3 & 4 Bedroom Houses 
"20 Moylaragh Grove, Balbriggan, Co. Dublin",100 m²,,3 Bath,3 Bed,"€295,000 "
"9 The Stable Yard, Balbriggan Street, Skerries, Co. Dublin",,,3 Bath,3 Bed,"€495,000 "
"6 Kilmahuddrick Court, Clondalkin, Dublin 22",80 m²,,1 Bath,3 Bed,"€265,000 "
"1 Raheny Close, Lusk, Co. Dublin",120 m²,,3 Bath,4 Bed,"€430,000 "
"12 The Rise, Malahide, Co. Dublin",330 m²,,3 Bath,4 Bed,"€2,750,000 "
"6 Walker's Cottages, Ranelagh, Ranelagh, Dublin 6",68 m²,,1 Bath,3 Bed,"€545,000 "
"2 St Catherine's Road, Glenageary, Co. Dublin",135 m²,,2 Bath,3 Bed,"€1,350,000 "
"47 Foxborough Drive, Lucan, Co. Dublin",122 m²,,3 Bath,3 Bed,"€370,000 "
"10 BLOCK 1B, The Casino, Malahide, Co. Dublin",77 m²,,1 Bath,1 Bed,"€475,000 "
"27 Aylmer Drive, Newcastle, Co. Dublin",97 m²,,2 Bath,2 Bed,"€265,000 "
"6 Lawnswood Park, Stillorgan, Co. Dublin",152 m²,,2 Bath,4 Bed,"€995,000 "
"3 Blackberry Lane, Rathmines, Dublin 6",106 m²,,3 Bath,5 Bed,"€795,000 "
"50 Fitzwilliam Point, Ringsend, Dublin 4",68 m²,,2 Bath,2 Bed,"€440,000 "
"2 Ardbrugh Road, Dalkey, Co. Dublin",110 m²,,2 Bath,3 Bed,"€745,000 "
"22 Park Crescent, Kimmage, Dublin 12",102 m²,,4 Bath,4 Bed,"€445,000 "
"4 Fairfield Road, Glasnevin, Dublin 9",168 m²,,2 Bath,4 Bed,"€875,000 "
"37 Wilford Court, Bray, Co. Wicklow",85 m²,,2 Bath,2 Bed,"€375,000 "
"2 Loreto Road, Maryland, Dublin 8",100 m²,,2 Bath,3 Bed,"€1,100,000 "
"7 Fernleigh Vale, Castleknock, Dublin 15",44 m²,,1 Bath,1 Bed,"€210,000 "
"29B Camac Park, Bluebell, Bluebell, Dublin 12",125 m²,,3 Bath,4 Bed,"€395,000 "
"Apartment 188, Block G, The Island, Chapelizod, Dublin 20",46 m²,,1 Bath,1 Bed,"€265,000 "
"Mill Race Lodge, Raheen, Brittas, Co. Dublin",87 m²,,1 Bath,2 Bed,"€325,000 "
"29 Larkfield Way, Lucan, Co. Dublin",172 m²,,3 Bath,5 Bed,"€675,000 "
"52 Leinster Park, Harold's Cross, Dublin 6W",163 m²,,3 Bath,4 Bed,"€850,000 "
"5 Beverly Green, Knocklyon, Knocklyon, Dublin 16",119 m²,,3 Bath,4 Bed,"€500,000 "
"31 Abbeyfield, Killester, Dublin 5",130 m²,,2 Bath,3 Bed,"€545,000 "
"6 Earlsfort Avenue, Lucan, Co. Dublin",113 m²,,2 Bath,3 Bed,"€379,000 "
"Shielmartin Road Sutton Dublin 13, Sutton, Dublin 13",353 m²,,3 Bath,6 Bed,"€1,500,000 "
"17 Déºn Saithne View, Flemington Lane, Balbriggan, Co. Dublin",75 m²,,2 Bath,2 Bed,"€250,000 "
"74 Kinvara Road, Navan Road, Dublin 7",87 m²,,1 Bath,3 Bed,"€449,000 "
"169 Griffith Avenue, Drumcondra, Dublin 9",103 m²,,2 Bath,4 Bed,"€725,000 "
"Rear 121 Strand Road, Sandymount, Dublin 4",0.01 ac,,,,"€500,000 "
"42 Whitworth Road, Drumcondra, Drumcondra, Dublin 9",104 m²,,2 Bath,3 Bed,"€675,000 "
"Apartment 57, Temple Court, Santry, Dublin 9",68 m²,,2 Bath,2 Bed,"€275,000 "
"Hampton Grace Park, Grace Park Road, Drumcondra, Dublin 3",,,,,PHASE 3 NOW LAUNCHED; 10 HOUSES READY BY DECEMBER 
"31 Aylmer Drive, Newcastle, Co. Dublin",65 m²,,2 Bath,2 Bed,"€225,000 "
"6 Desmond Street, South Circular Road, Dublin 8",91 m²,,1 Bath,3 Bed,"€595,000 "
"158 St Peters Road, Greenhills, Walkinstown, Dublin 12",88 m²,,2 Bath,3 Bed,"€385,000 "
"24 Benbulbin Avenue, Drimnagh, Dublin 12",,,2 Bath,3 Bed,"€410,000 "
"44 Ferns Road, Crumlin, Dublin 12",97 m²,,2 Bath,3 Bed,"€375,000 "
"42 Foxwood, Swords, Co. Dublin",90 m²,,1 Bath,3 Bed,"€358,000 "
"Apartment 139, Block C, Dublin 1",42 m²,,1 Bath,1 Bed,"€315,000 "
"Apartment 107, Kilmainham Bank, Kilmainham, Dublin 8",70 m²,,1 Bath,3 Bed,"€335,000 "
"Avondale, Swords Road, Malahide, Co. Dublin",5.75 ac,,,,"€2,500,000 "
"27 Ardeevin Avenue, Lucan, Co. Dublin",167 m²,,2 Bath,4 Bed,"€599,000 "
"Apartment 3, Landys Court, Balbriggan, Co. Dublin",82 m²,,2 Bath,2 Bed,"€212,000 "
"Avondale, Swords Road, Malahide, Co. Dublin",279 m²,,4 Bath,7 Bed,"€2,500,000 "
"26 Clonuske Rise, Hamlet Lane, Balbriggan, Co. Dublin",83 m²,,1 Bath,2 Bed,"€259,500 "
"19 Westbourne Close, Clondalkin, Clondalkin, Dublin 22",,,2 Bath,3 Bed,"€280,000 "
"6 Carr's Mill, Donabate, Co. Dublin",,,2 Bath,3 Bed,"€495,000 "
"13 Elmcastle Park, Kilnamanagh, Tallaght, Dublin 24",120 m²,,3 Bath,4 Bed,"€395,000 "
"Apartment 61, Merton Hall, Milltown Avenue, Mount Saint Annes, Milltown, Dublin 6",76 m²,,2 Bath,2 Bed,"€470,000 "
"Apartment 5, Hazelbrook, Dundrum, Dublin 14",79 m²,,2 Bath,2 Bed,"€435,000 "
"Mainscourt, Ballyboughal, Co. Dublin",,,1 Bath,2 Bed,"€370,000 "
"61 Clonuske Drive, Balbriggan, Co. Dublin",84 m²,,2 Bath,2 Bed,"€250,000 "
"1 Albert College Drive, Glasnevin, Glasnevin, Dublin 11",122 m²,,2 Bath,3 Bed,"€415,000 "
"11 The Crescent, Kingswood Heights, Tallaght, Dublin 24",,,3 Bath,5 Bed,"€450,000 "
"36 Ivar Street, Stoneybatter, Stoneybatter, Dublin 7",65 m²,,1 Bath,2 Bed,"€425,000 "
"15 Boden Wood, Rathfarnham, Rathfarnham, Dublin 14",,,2 Bath,4 Bed,"€530,000 "
"189 Clogher Road, Crumlin, Dublin 12",,,1 Bath,3 Bed,"€345,000 "
"An Teach Bán, Lispopple Cross, Rolestown, Swords, Co. Dublin",193 m²,,2 Bath,4 Bed,"€695,000 "
"7 Crostick Court, Apartment 7, Crostick Court, Dublin 8",71 m²,,1 Bath,2 Bed,"€295,000 "
"9 Melvin Road, Terenure, Dublin 6",68 m²,,1 Bath,2 Bed,"€419,950 "
"48 Foxfield Avenue, Raheny, Dublin 5",98 m²,,1 Bath,3 Bed,"€580,000 "
"65 Riverwood Court, Castleknock, Dublin 15",,,4 Bath,3 Bed,"€535,000 "
"11 Parkview, Greenhills Road, Tallaght, Dublin 24",57 m²,,1 Bath,2 Bed,"€290,000 ONLINE OFFERS"
"16 Déºn An é""ir, Old Bawn Road, Tallaght, Dublin 24",,,3 Bath,6 Bed,"€450,000 ONLINE OFFERS"
"Apartment 34, Georges Quay Apartments, Dublin 2",38 m²,,1 Bath,1 Bed,"€285,000 "
"13 Rockford Park, Blackrock, Co. Dublin",92 m²,,1 Bath,3 Bed,"€469,000 "
"139 Castlecurragh Vale, Mulhuddart, Mulhuddart, Dublin 15",,,2 Bath,3 Bed,"€259,950 "
"Carraig, Priory Drive, Stillorgan, Co. Dublin",178 m²,,3 Bath,4 Bed,"€945,000 "
"12 Latchford Green, Castaheany, Clonee, Dublin 15",,,2 Bath,2 Bed,"€340,000 "
"14 Gilbert Road, South Circular Road, Dublin 8",102 m²,,1 Bath,3 Bed,"€575,000 "
"25 Cairnbrook Avenue, Glenamuck Road, Carrickmines, Dublin 18",102 m²,,2 Bath,2 Bed,"€495,000 "
"Tower View, 11 Cobblers Walk, Lusk, Co. Dublin",,,3 Bath,3 Bed,"€355,000 "
"1 Seafort Gardens, Sandymount, Sandymount, Dublin 4",185 m²,,4 Bath,4 Bed,"€1,345,000 "
"Apartment 49, Shanagarry, Milltown, Dublin 6",51 m²,,1 Bath,2 Bed,"€450,000 "
"49 Foxrock Park, Foxrock, Foxrock, Dublin 18",151 m²,,2 Bath,4 Bed,"€625,000 "
"22 Delaford Park, Knocklyon, Dublin 16",91 m²,,2 Bath,3 Bed,"€495,000 "
"71 Suncroft Drive, Tallaght, Tallaght, Dublin 24",74 m²,,1 Bath,3 Bed,"€259,000 "
"19 Kelly's Bay Drive, Skerries, Co. Dublin",,,3 Bath,3 Bed,"€480,000 "
"Apartment 25, Tyrconnell Place, 31_35 Tyrconnell Road, Inchicore, Dublin 8",70 m²,,2 Bath,2 Bed,"€325,000 "
"130 Nephin Road, Navan Road, Cabra, Dublin 7",148 m²,,2 Bath,4 Bed,"€580,000 "
"16 Downside Heights, Skerries, Co. Dublin",138 m²,,2 Bath,4 Bed,"€590,000 "
"240 Cherries Road, Wedgewood, Sandyford, Dublin 16",91 m²,,2 Bath,3 Bed,"€524,950 "
"33 Dooroge Woods, Dooroge, Ballyboughal, Co. Dublin",274 m²,,4 Bath,4 Bed,"€995,000 "
"Apartment 111, Rockview, Blackglen Road, Sandyford, Dublin 18",105 m²,,2 Bath,3 Bed,"€375,000 "
"Saint Anthony, 4 Convent View Cottages, Cabra, Dublin 7",74 m²,,1 Bath,3 Bed,"€349,000 "
"17 Curlew Road, Drimnagh, Drimnagh, Dublin 12",113 m²,,1 Bath,3 Bed,"€365,000 "
"Chieftains Road, Balbriggan, Co. Dublin",101 m²,,3 Bath,3 Bed,"€295,000 "
"9 Griffith Drive, Glasnevin, Dublin 11",111 m²,,2 Bath,3 Bed,"€375,000 "
"2 Mourne Lodge, Mourne Road, Dublin 12",,,3 Bath,3 Bed,"€399,950 "
"114 Harold's Cross Cottages, Harold's Cross Road, Harold's Cross, Dublin 6",35 m²,,1 Bath,1 Bed,"€299,000 "
"18 Cruise Park Walk, Tyrellstown, Tyrrelstown, Dublin 15",,,3 Bath,2 Bed,"€260,000 "
"16 Bayview Court, Killiney, Co. Dublin",102 m²,,1 Bath,3 Bed,"€595,000 "
"31 Shanganagh Vale Cabinteely Dublin 18, Cabinteely, Dublin 18",176 m²,,3 Bath,4 Bed,"€795,000 "
"6 Summerville Park Rathmines Dublin 6, Rathmines, Dublin 6",122 m²,,3 Bath,4 Bed,"AMV: €500,000 "
"29A Camac Park, Bluebell, Bluebell, Dublin 12",125 m²,,3 Bath,4 Bed,"€395,000 "
"Apartment 54, Mayeston Court, Finglas, Dublin 11",43 m²,,1 Bath,1 Bed,"€185,000 "
"90 St Peters Road, Greenhills, Walkinstown, Dublin 12",88 m²,,1 Bath,3 Bed,"€395,000 "
"309 The Cubes 1, Beacon South Quarter, Sandyford, Dublin 18",78 m²,,2 Bath,2 Bed,"€375,000 "
"92 Meadow Park, Churchtown Upper, Rathfarnham, Dublin 14",89 m²,,1 Bath,3 Bed,"€495,000 "
"40 Meadow Park, Churchtown Upper, Rathfarnham, Dublin 14",89 m²,,1 Bath,3 Bed,"€525,000 "
"6 The Court, Bettyglen, Raheny, Dublin 5",67 m²,,1 Bath,2 Bed,"€395,000 "
"Apartment 16, Carnegie Court, Swords, Co. Dublin",71 m²,,1 Bath,2 Bed,"€270,000 "
"Apartment 32, Kittiwake, Skerries, Co. Dublin",,,2 Bath,2 Bed,"€575,000 "
"44 Hansted Crescent, Lucan, Co. Dublin",86 m²,,2 Bath,2 Bed,"€255,000 "
"5 Annsbrook,  Road, Clonskeagh, Co. Dublin",240 m²,,3 Bath,4 Bed,"€1,345,000 "
"45 Lower Albert Road, Glasthule, Sandycove, Co. Dublin",276 m²,,2 Bath,5 Bed,"€1,350,000 "
"218 Balbutcher Lane, Ballymun, Dublin 11",90 m²,,1 Bath,3 Bed,"€249,950 "
"18 Aspen Avenue, Clonsilla, Dublin 15",128 m²,,3 Bath,4 Bed,"€490,000 "
"Apartment 109, Shanagarry, Milltown, Dublin 6",85 m²,,2 Bath,3 Bed,"€550,000 "
"23 Ballyowen Hall, Lucan, Co. Dublin",,,2 Bath,2 Bed,"€269,000 "
"38 Sandford Avenue, South Circular Road, South Circular Road, Dublin 8",97 m²,,1 Bath,3 Bed,"€550,000 "
"Apartment 30, Block C, Boden Heath, Rathfarnham, Dublin 14",51 m²,,1 Bath,1 Bed,"€320,000 "
"Lissadell, 87 Foster Avenue, Mount Merrion, Co. Dublin",0.25 ac,,,,"€1,295,000 "
"69 Hazelwood Park, Artane, Artane, Dublin 5",98 m²,,1 Bath,3 Bed,"€390,000 "
"19 Drynam Court, Swords, Co. Dublin",,,2 Bath,4 Bed,"€649,000 "
"11 Cardy Rock Road, Balbriggan, Co. Dublin",95 m²,,2 Bath,3 Bed,"€235,000 "
"Apartment 98, Highgrove, Mount Talbot, Monastery Road, Clondalkin, Dublin 22",70 m²,,2 Bath,2 Bed,"€260,000 "
"Apartment 6, Ashurst, Blackrock, Co. Dublin",52 m²,,1 Bath,1 Bed,"€275,000 "
"Apartment 12, Beverly Court, Vernon Avenue, Clontarf, Dublin 3",61 m²,,1 Bath,2 Bed,"€330,000 "
"7 St Martins Park, Kimmage, Dublin 6W",115 m²,,2 Bath,3 Bed,"€750,000 "
"Rockhurst, Enniskerry Road, Kilternan, Dublin 18",236 m²,,4 Bath,5 Bed,"€700,000 "
"4 Churchtown Drive, Churchtown, Dublin 14",217 m²,,4 Bath,5 Bed,"€1,250,000 "
"30 Idrone Park, Knocklyon, Dublin 16",102 m²,,1 Bath,2 Bed,"€495,000 "
"The Mews, The Mews, 197 North Circular Road, Dublin 7",117 m²,,2 Bath,3 Bed,"€695,000 "
"30 The Palms, Roebuck Road, Clonskeagh, Dublin 14",217 m²,,3 Bath,3 Bed,"€995,000 "
"181 Seafield Road East, Clontarf, D03P286, Dublin 3",,,2 Bath,4 Bed,"€995,000 "
"Saint Ronans, Saint Ronans, 6 Kitestown Road, Howth, Dublin 13",178 m²,,3 Bath,5 Bed,"€1,250,000 "
"36 Portside Court, East Wall, D03V2P3, Dublin 3",56 m²,,1 Bath,2 Bed,"€325,000 "
"26 Talbot Court, Castleknock, Dublin 15",139 m²,,3 Bath,4 Bed,"€575,000 "
"Rowan House, Grove Wood, Hainault Road, Foxrock, Dublin 18",408 m²,,6 Bath,5 Bed,"€2,750,000 "
"127 Red Arches Road, Baldoyle, Dublin 13",,,2 Bath,3 Bed,"€379,950 "
"29 Glenville Way, Clonsilla, Dublin 15",,,2 Bath,4 Bed,"€595,000 "
"47 Royston Kimmage Road West Dublin 12, Kimmage, Dublin 12",159 m²,,3 Bath,4 Bed,"€550,000 "
"26 Cowper Village, Rathmines, Dublin 6",77 m²,,2 Bath,3 Bed,"€650,000 "
"9 Millrace Court, Saggart, Co. Dublin",140 m²,,3 Bath,4 Bed,"€345,000 "
"54 Barry Park, Finglas, Dublin 11",80 m²,,1 Bath,3 Bed,"€235,000 "
"54 Barnwall Court, Balbriggan, Co. Dublin",79 m²,,2 Bath,2 Bed,"€220,000 ONLINE OFFERS"
"Apartment 223, Block C, Smithfield, Dublin 1",60 m²,,1 Bath,2 Bed,"€330,000 "
"95 Castlefield Woods, Clonsilla, Dublin 15",130 m²,,3 Bath,4 Bed,"€495,000 "
"91 Benmadigan Road, Drimnagh, Drimnagh, Dublin 12",,,2 Bath,4 Bed,"€324,950 "
"7 Oakfield Place, South Circular Road, Portobello, Dublin 8",53 m²,,1 Bath,2 Bed,"€400,000 "
"18 Main Street, Raheny, Dublin 5",100 m²,,1 Bath,3 Bed,"€550,000 "
"11 Coill Dubh Court, Broomfield, Malahide, Co. Dublin",129 m²,,3 Bath,4 Bed,"€850,000 "
"The Cottage, Commons Road, Clondalkin, Dublin 22",200 m²,,3 Bath,4 Bed,"€595,000 "
"1 Linden Place, Grove Avenue, Blackrock, Co. Dublin",195 m²,,3 Bath,4 Bed,"€1,150,000 "
"41 Saint Fintan's Villas, Deansgrange, Blackrock, Co. Dublin",860 m²,,1 Bath,2 Bed,"€724,950 "
"13 Abbey Park, Killester, Killester, Dublin 5",90 m²,,1 Bath,3 Bed,"€495,000 "
"55 St Brigids Grove, Killester, Dublin 5",101 m²,,3 Bath,3 Bed,"€580,000 "
"84 Castledawson, Sion Hill, Blackrock, Co. Dublin",79 m²,,1 Bath,2 Bed,"€449,950 "
"28 Clonmore Road, Mount Merrion, Co. Dublin",164 m²,,2 Bath,3 Bed,"€950,000 "
"16 Coulson Avenue, Rathgar, Rathgar, Dublin 6",162 m²,,2 Bath,4 Bed,"€1,100,000 "
"17 Beau Park Street, Clongriffin, Dublin 13",105 m²,,2 Bath,3 Bed,"€395,000 "
"31 Steevens Gate, James Street, Dublin 8",71 m²,,1 Bath,2 Bed,"€350,000 "
"49 Gracefield Road, Artane, Dublin 5",135 m²,,2 Bath,4 Bed,"€695,000 "
"20 Griffith Drive, Glasnevin, Dublin 11",89 m²,,1 Bath,3 Bed,"€350,000 "
"145 Richmond Road, Drumcondra, Drumcondra, Dublin 3",102 m²,,2 Bath,3 Bed,"€345,000 "
"Apartment 31, Shackleton House, Archerswood, Clonee, Dublin 15",80 m²,,2 Bath,2 Bed,"€270,000 "
"Aughrim Lodge, Doctor's Lane, Rush, Co. Dublin",153 m²,,3 Bath,4 Bed,"€585,000 "
"145 Richmond Road, Drumcondra, Drumcondra, Dublin 3",102 m²,,2 Bath,3 Bed,"€345,000 "
"148 Mulvey Park, Dundrum, Dundrum, Dublin 14",90 m²,,2 Bath,3 Bed,"€495,000 "
"17 Milesian Lawn, Feltrim Road, Swords, Co. Dublin",110 m²,,3 Bath,3 Bed,"€415,000 "
"Derrylavin, 60, North Circular Road, Dublin 7",280 m²,,10 Bath,10 Bed,"€2,000,000 "
"Clarinda Park House, Dun Laoghaire, Co. Dublin",60 m²,,1 Bath,2 Bed,"€445,000 "
"Apartment 30, Block B, The Courtyard, Dublin 1",53 m²,,1 Bath,2 Bed,"€320,000 "
"Site With PP @ Cullens Corner Shop, 25 Mountpleasant Ave Lower, Ranelagh, Dublin 6",,,,,"€660,000 "
"14 Boyd House, Myrtle Close, The Coast, D13FY76, Baldoyle, Dublin 13",151 m²,,4 Bath,4 Bed,"€395,000 "
"24 Latchford Park, Castaheany, Clonee, Dublin 15",135 m²,,3 Bath,3 Bed,"€385,000 "
"58 Mulvey Park, Windy Arbour, Dublin 14",99 m²,,2 Bath,3 Bed,"€525,000 "
"Apartment A45, Block A, Metropolitan Apartments, Inchicore Road, Kilmainham, Dublin 8",,,1 Bath,1 Bed,"€265,000 "
"Grantham House, Rathgar Avenue, Rathgar, Dublin 6",154 m²,,3 Bath,3 Bed,"€975,000 "
"2 Shenick Grove, Skerries, Co. Dublin",,,2 Bath,4 Bed,"€625,000 "
"46 Annfield Drive, Castleknock, Castleknock, Dublin 15",78 m²,,2 Bath,2 Bed,"€300,000 "
"Apartment 15, The Kilmore, Santry, Dublin 9",41 m²,,1 Bath,1 Bed,"€215,000 "
"11 Bawnville Park, Tallaght, Tallaght, Dublin 24",96 m²,,1 Bath,3 Bed,"€280,000 "
"11 Grace Park Heights, Drumcondra, Dublin 9",105 m²,,2 Bath,3 Bed,"€425,000 "
"67 Castle Way, Golden Lane, Dublin 8",68 m²,,2 Bath,2 Bed,"€470,000 "
"61 Kelly's Bay Pier, Skerries, Co. Dublin",,,3 Bath,3 Bed,"€460,000 "
"71 Goldenbridge Avenue, Inchicore, Inchicore, Dublin 8",74 m²,,1 Bath,2 Bed,"€395,000 "
"Apartment 3, The Oaks, Clonshaugh, Dublin 17",,,1 Bath,2 Bed,"€230,000 1 ONLINE OFFER"
"Apartment 28, Castle Lawn, Kilgobbin Wood, Leopardstown, Dublin 18",75 m²,,2 Bath,2 Bed,"€350,000 "
"9 Ashwood Drive, Clondalkin, Clondalkin, Dublin 22",115 m²,,2 Bath,3 Bed,"€295,000 "
"25 Serpentine Avenue, Ballsbridge, Ballsbridge, Dublin 4",244 m²,,5 Bath,4 Bed,"€1,950,000 "
"66 Knockcullen Drive, Knocklyon, Dublin 16",125 m²,,2 Bath,4 Bed,"€695,000 "
"13 Croftwood Grove, Cherry Orchard, Dublin 10",110 m²,,1 Bath,4 Bed,"€295,000 "
"218 Griffith Avenue, Drumcondra, Dublin 3",145 m²,,2 Bath,4 Bed,"€895,000 "
"Park Road, Kenure, Rush, Co. Dublin",2.74 ac,,,,"€1,900,000 "
"2 Glencairn Court, The Gallops, Leopardstown, Dublin 18",162 m²,,3 Bath,3 Bed,"€750,000 "
"26 Larkfield View, Lucan, Co. Dublin",96 m²,,2 Bath,3 Bed,"€325,000 "
"25 Cypress Grove Road, Templeogue, Dublin 16",120 m²,,1 Bath,4 Bed,"€795,000 "
"32 Linnetfields Park, Clonee, Dublin 15",75 m²,,1 Bath,2 Bed,"€245,000 "
"10 Rathborne Close, Ashtown, Dublin 15",,,3 Bath,4 Bed,"€600,000 "
"14 Woodbrook Square, Riverwood Road, Castleknock, Dublin 15",104 m²,,2 Bath,3 Bed,"€375,000 "
"6 Willington Lawn, Templeogue, Dublin 16",103 m²,,2 Bath,3 Bed,"€575,000 "
"209 Elm Mount Avenue, Beaumont, Dublin 9",95 m²,,1 Bath,3 Bed,"€405,000 "
"16 Ennel Park, Artane, Dublin 5",102 m²,,1 Bath,3 Bed,"€350,000 "
"7 Cathedral View Walk, Dublin 8",92 m²,,2 Bath,3 Bed,"€425,000 "
"18 Prospect Heights, Rathfarnham, Dublin 16",118 m²,,2 Bath,3 Bed,"€560,000 "
"Apartment 44, Merrion Grove, Blackrock, Co. Dublin",48 m²,,1 Bath,1 Bed,"€320,000 "
"Apartment 13, Sion Hill Court, Drumcondra, Dublin 3",35 m²,,1 Bath,1 Bed,"€215,000 "
"158 Grange Lodge Avenue, Clongriffin, Clongriffin, Dublin 13",98 m²,,2 Bath,2 Bed,"€340,000 "
"Corr House, 1 Offington Park, Sutton, Dublin 13",304 m²,,4 Bath,5 Bed,"€1,450,000 "
"28 Simmonscourt Castle, Ballsbridge, Dublin 4",64 m²,,1 Bath,2 Bed,"€545,000 "
"Apartment 54, Beaumont Court, Beaumont, Dublin 9",,,2 Bath,2 Bed,"€249,950 "
"62 Carrickmines Avenue, Carrickmines Wood, Carrickmines, Dublin 18",237 m²,,4 Bath,3 Bed,"€1,350,000 "
"129 Sutton Park, Sutton, Dublin 13",128 m²,,2 Bath,4 Bed,"€685,000 "
"2 Lanesborough Castle, Lanesborough Gardens, Finglas, Dublin 11",106 m²,,3 Bath,3 Bed,"€249,950 "
"12a Carrickbrack Road, Sutton, Dublin 13",186 m²,,2 Bath,5 Bed,"€1,295,000 "
"Apartment 8, Adamstown Avenue, Lucan, Co. Dublin",79 m²,,2 Bath,2 Bed,"€275,000 "
"25 Grange Terrace, Blackrock, Deans Grange, Co. Dublin",59 m²,,1 Bath,1 Bed,"€439,950 "
"29 St Mary's Road, Ballsbridge, Dublin 4",267 m²,,4 Bath,4 Bed,"€1,800,000 "
"Fernbrook Cottage, 5 Ferndale Road, Rathmichael, Dublin 18",156 m²,,1 Bath,4 Bed,"€825,000 "
"6 Glenville Way, Clonsilla, Clonsilla, Dublin 15",,,2 Bath,4 Bed,"€500,000 "
"96 Carndonagh Park, Donaghmede, Donaghmede, Dublin 13",,,2 Bath,3 Bed,"€365,000 "
"3 Temple Place, Ranelagh, Ranelagh, Dublin 6",65 m²,,1 Bath,3 Bed,"€530,000 "
"2A Herbert Avenue, Ballsbridge, Dublin 4",146 m²,,2 Bath,3 Bed,"€1,150,000 "
"8 Barnwell Woods, Clonsilla, Dublin 15",152 m²,,4 Bath,3 Bed,"€540,000 "
"Flat 1, 43 Rathmines Road Upper, Rathmines, Dublin 6",267 m²,,9 Bath,9 Bed,Price on Application 
"40 Avondale Avenue, Phibsborough, Phibsborough, Dublin 7",69 m²,,1 Bath,2 Bed,"€375,000 "
"19 Lough Conn Road, Ballyfermot, Dublin 10",72 m²,,1 Bath,3 Bed,"€255,000 "
"6 Grace O'Malley Drive, Howth, Dublin 13",115 m²,,1 Bath,3 Bed,"€635,000 "
"Apartment 7, Duff House, North Circular Road, Dublin 7",44 m²,,1 Bath,1 Bed,"€210,000 "
"1 Willowbank Drive, Rathfarnham, Dublin 14",135 m²,,1 Bath,4 Bed,"€795,000 "
"23 Glendoher Avenue, Rathfarnham, Dublin 16",206 m²,,3 Bath,4 Bed,"€695,000 "
"23 Gandon Crescent, Lucan, Co. Dublin",138 m²,,3 Bath,4 Bed,"€490,000 "
"148 The Sweepstakes, Ballsbridge, Dublin 4",52 m²,,1 Bath,1 Bed,"€395,000 "
"67 Drumcliffe Road, Cabra West, Cabra, Dublin 7",66 m²,,1 Bath,2 Bed,"€395,000 "
"165 Bloomfield Park, Bloomfield Avenue, Donnybrook, Dublin 4",71 m²,,2 Bath,2 Bed,"€575,000 "
"64 Bloomfield Park, Donnybrook, Dublin 4",70 m²,,2 Bath,2 Bed,"€575,000 "
"7 Lough Conn Drive, Ballyfermot, Dublin 10",,,2 Bath,3 Bed,"€285,000 "
"Residence 18, InterContinental Hotel, Simmonscourt Road, Ballsbridge, Dublin 4",115 m²,,2 Bath,1 Bed,"€1,200,000 "
"42 Cypress Grove Road Templeogue Dublin 6W, Templeogue, Dublin 16",155 m²,,3 Bath,5 Bed,"€695,000 "
"48 Shrewsbury Park, Ballsbridge, Dublin 4",150 m²,,3 Bath,3 Bed,"€1,000,000 "
"Apartment 19, Market Square, Dublin 7",58 m²,,1 Bath,2 Bed,"€325,000 "
"JAMES JOYCE GUEST HOUSE, 14 Bachelors Walk, Dublin 1",340 m²,,5 Bath,6 Bed,"€1,200,000 "
"Apartment 37, Ladycove, Rush, Co. Dublin",57 m²,,2 Bath,2 Bed,"€260,000 "
